MC_Stationary,TD_Stationary,MC_Shift,TD_Shift
-217.57807541782066,-64.70490955160355,-633.4072874190895,-67.57491179563009
-220.9229295181231,-297.3199811315935,-1547.5288966563621,-127.75634889219731
-173.5561262091303,-104.81926482954563,-1077.1059250886829,-119.00027731579189
-129.6446429290678,-149.63436743928784,-336.0714966355821,-79.96383625117464
-235.9619141687372,-216.1914742959098,-301.4547096364282,-87.65705543236066
-144.60090229715476,-130.3106417906135,-861.9180402425243,-174.8122104430592
-176.21127043731406,-176.70487079473895,-221.2404875673872,-132.19678869209605
-171.14826781052778,-182.99529999296982,-178.5594409229838,-119.1204135221231
-176.14052057390194,-177.20218758544854,-223.47643487798337,-67.61362617399897
-1223.4754170967321,-205.41727428049884,-187.96851850729593,-147.90421197239533
-332.65808665888653,-306.8763538187462,-282.31994333987524,-147.64929120653653
-190.531154674178,-188.76244671746193,-196.6477246678532,-109.83544286920383
-186.77215274912123,-101.53364532397401,-270.28125597808986,-138.6653445008805
-506.8560591777587,-158.6187792128137,-202.2417607773464,-136.94405907461228
-173.03699521220634,-112.23324892323156,-251.8478865348828,-156.50743612047782
-189.85642329876845,-103.69956669078431,-202.64713182292394,-197.53656503399472
-194.34476260241226,-247.12086932172042,-268.83748502179463,-155.14918695832807
-210.63364759081492,-229.8489397741713,-186.5717354132173,-137.21027651984832
-203.4448743264603,-150.7011972049658,-192.33192932685142,-104.74552170308881
-176.94879211278504,-107.09359867183707,-158.91004818671107,-192.33535641862858
-172.7909745000837,-174.25564718483045,-202.27731999883818,-101.32458297886089
-155.62541800333545,-206.72033666554947,-226.25272023347148,-205.79058194343227
-158.77812852861155,-146.033851189581,-257.87691503502174,-157.20309648039864
-152.12470754460514,-165.574675305771,-190.9872479640604,-182.85093562256574
-265.9399767286637,-193.5201834769496,-209.8510405909914,-131.81245499812076
-203.203071626455,-141.117636216947,-219.12018265884373,-162.91133815989332
-135.8766670636522,-162.28003342060836,-215.4992728063674,-118.0204953530117
-204.80441812094412,-185.54478209404613,-169.20532886201676,-144.06143386846156
-106.26398318740326,-134.32401765537134,-247.3037496854862,-148.66835082335842
-168.64433384272573,-83.86930690480541,-213.35404143361873,-145.0844882532751
-203.27636287924062,-197.96968115081378,-283.51712777194257,-145.04572504580773
-223.79947552044487,-266.0475731496625,-218.28867035638484,-178.53918171597812
-257.20632326776155,-258.67382285751165,-194.59358933407873,-194.7320690151386
-209.42431123889904,-198.60861715616363,-208.24650025356112,-222.53377841334935
-229.12946594491072,-177.22571061444228,-186.8479795518706,-145.63514134955966
-246.77953392185938,-107.60793724355119,-211.00691399997626,-180.451183181465
-230.1295427388246,-208.39835606479303,-281.4532703198332,-171.3767384971308
-240.41089816361207,-222.8006516743718,-236.862363704039,-290.9657470911054
-151.66175585190746,-351.31845492944353,-220.3323606870432,-245.06572279099393
-161.91209393078293,-101.7958666261758,-198.5318376476853,-218.39224358133077
-132.50233314021474,-129.6231010154181,-205.9077807625682,-231.74304626731166
-237.35688601087386,-237.65095142902808,-220.06084765133465,-116.39414911288766
-157.67250354715455,-107.30280004163636,-311.5103302828342,-145.89062824192695
-187.76974993596167,-122.51351474356957,-241.90209177418433,-157.96179937705853
-248.01460429204275,-118.0339626880681,-256.5216632715056,-168.01212399026278
-223.39050621059022,-110.31577234131669,-117.48613974360771,-276.6645819680358
-125.99261688314488,-158.0789585583585,-208.00677138237762,-177.17254800783994
-129.04458190836579,-119.5453284749415,-228.21371630125702,-243.13709397321622
-206.07152804079914,-183.2452093623512,-192.2474668814109,-181.11700697922856
-158.41735645152184,-208.4910859587535,-187.59891054795986,-87.58622966254259
-165.34046812148992,-135.8843119042234,-239.24074337213648,-145.1828358401362
-197.39430150424346,-284.3918878764208,-169.5019410720693,-177.92134735762062
-178.09334214718083,-153.26246163197217,-244.60718124950404,-250.61514714156576
-142.3864678482658,-198.01397279813227,-238.97313328114248,-182.40968117773468
-209.45693892226507,-152.90215568835572,-166.53453023185034,-166.3402361009583
-146.03539310219512,-205.1153012808466,-1204.1446411852191,-166.2902871806113
-134.25196477144726,-173.60982523654178,-168.70053579536204,-235.63654351751273
-180.8531361396469,-96.54205590603559,-263.6080386749637,-256.81024171765387
-169.02492742258872,-174.52061969991757,-186.88543266858196,-254.94692550586933
-169.16069491376993,-121.74056764892438,-236.1546792609288,-221.21495651610508
-167.4582042216935,-199.5045930858406,-186.54387283597688,-219.0583669172908
-152.51371124075948,-123.00279868873588,-202.71680923743696,-165.1791772129787
-207.79962048019587,-111.57896875916774,-272.2500846237355,-172.75232707487828
-189.30714729870832,-149.52519628567438,-268.554604115121,-169.84680802350167
-201.44239122051616,-151.30137333285637,-263.69932470890274,-154.4381562293416
-173.14742046656224,-241.34015221329378,-147.6941319654004,-201.05498585246778
-131.80123668025698,-203.0051721951608,-169.51476312523747,-154.20969689041667
-163.99457459062427,-212.37262489004408,-163.76002607752702,-251.62885491670886
-163.07990830497812,-155.21782360229773,-246.60903755609903,-159.01040904114285
-189.74402609288592,-198.74426216560457,-237.72767469398872,-174.36006509459196
-214.9238035441731,-123.91563767537491,-301.6975756301367,-159.3100829816862
-162.23286297142099,-244.98593442908435,-270.92344349477844,-224.1490933066635
-176.43513766118073,-293.30205434398505,-287.65555278464956,-255.15124696462613
